date,fire_frp_sum,fire_frp_sum_tomorrow,wind_speed,wind_dir,pm25,latitude,longitude
2025-02-06,4780.9,8542.8,10.957847,170.36888,3.4529411764705884,34.07563788291881,-118.23621817647059
2025-02-07,8542.8,3316.3,13.985663,134.17229,3.15,34.11571490052469,-118.2461763
2025-02-08,3316.3,1508.4,6.050785,118.37912,8.590909090909092,34.11124900055662,-118.24442209090908
2025-02-09,1508.4,1538.8000000000002,4.175069,347.97772,10.600000000000001,34.11025223130754,-118.25306946153844
2025-02-10,1538.8000000000002,399.3,9.432412,127.55322,9.272727272727273,34.11124900055662,-118.24442209090908
2025-02-11,399.3,1783.6,15.951087,153.588,7.01,34.11571490052469,-118.2461763
2025-02-12,1783.6,6333.6,14.275713,105.75127,5.0,34.090639467191366,-118.23920813333332
2025-02-13,6333.6,11213.2,17.548845,133.29271,2.21,34.11571490052469,-118.2461763
2025-02-14,11213.2,4964.7,21.273533,220.55904,5.854545454545455,34.11124900055662,-118.24442209090908
2025-02-15,4964.7,913.1999999999999,13.822546,314.52264,8.766666666666667,34.09503606719143,-118.24118733333333
2025-02-16,913.1999999999999,220.7,5.0975285,343.61038,10.458333333333334,34.09028341724969,-118.24077916666666
2025-02-17,220.7,9298.9,5.5567255,91.00509,11.825000000000001,34.09028341724969,-118.24077916666666
2025-02-18,9298.9,12415.4,7.486788,102.42595,10.547368421052632,34.07468547428272,-118.23523521052633
2025-02-19,12415.4,32554.0,5.896202,331.48877,13.627272727272727,34.11124900055662,-118.24442209090908
2025-02-20,32554.0,25146.1,6.8423676,67.919495,10.527272727272727,34.092437364192755,-118.24204272727273
2025-02-21,25146.1,13512.2,7.7043357,269.09778,8.461538461538462,34.115329923547854,-118.24540176923077
2025-02-22,13512.2,17299.0,8.0899935,337.71994,10.870000000000001,34.095022100524446,-118.243559
2025-02-23,17299.0,23334.9,5.509882,345.8445,13.680000000000001,34.095022100524446,-118.243559
2025-02-24,23334.9,23818.6,10.34178,246.12466,13.170588235294119,34.07563788291881,-118.23621817647059
2025-02-25,23818.6,65511.6,7.42159,133.86194,7.970000000000001,34.095022100524446,-118.243559
2025-02-26,65511.6,56993.9,7.6579366,201.80138,10.288888888888888,34.12117322270789,-118.24832033333334
2025-02-27,56993.9,10585.3,7.5942073,327.61362,7.66,34.09503606719143,-118.24118733333333
2025-02-28,10585.3,3246.2,13.690654,85.21162,7.833333333333333,34.09028341724969,-118.24077916666666
2025-02-28,3246.2,2553.7,13.690654,85.21162,7.833333333333333,34.09028341724969,-118.24077916666666
2025-03-01,2553.7,7807.9,11.996699,195.94542,7.983333333333333,34.09028341724969,-118.24077916666666
2025-03-02,7807.9,2420.1,19.249905,187.72787,5.75,34.09029505613884,-118.23880277777776
2025-03-03,2420.1,3232.0,19.721298,284.02222,5.375,34.09028341724969,-118.24077916666666
2025-03-04,3232.0,5728.3,14.57889,17.919073,7.416666666666667,34.09028341724969,-118.24077916666666
2025-03-05,5728.3,8252.7,13.971756,191.35411,8.77142857142857,34.09235292913367,-118.2493292857143
2025-03-06,8252.7,2092.4,18.037762,238.13237,3.6833333333333336,34.09028341724969,-118.24077916666666
2025-03-07,2092.4,713.5,12.303366,291.77383,5.8500000000000005,34.09028341724969,-118.24077916666666
2025-03-08,713.5,3326.6,9.67657,63.78599,8.155555555555557,34.09029505613884,-118.23880277777776
2025-03-09,3326.6,10430.1,8.863972,259.31497,8.700000000000001,34.11124900055662,-118.24442209090908
2025-03-10,10430.1,13714.9,10.993271,213.30594,7.472727272727273,34.11124900055662,-118.24442209090908
2025-03-11,13714.9,23397.1,16.507088,115.58634,4.1,34.10512530823061,-118.22187253846154
2025-03-12,23397.1,11511.3,15.536408,132.1563,3.3333333333333335,34.09028341724969,-118.24077916666666
2025-03-13,11511.3,21737.5,19.778715,206.75359,2.7399999999999998,34.13223500052489,-118.2483643
2025-03-14,21737.5,8835.7,16.940096,94.27943,4.3625,34.07345506310145,-118.221448125
2025-03-15,8835.7,5514.5,12.9625,251.11386,8.327272727272726,34.06363281881784,-118.21463181818181
2025-03-16,5514.5,9857.0,7.674842,116.889915,11.0,34.06363281881784,-118.21463181818181
2025-03-17,9857.0,19059.7,12.232057,219.11865,9.928571428571429,34.07443578627653,-118.22067214285714
2025-03-18,19059.7,48427.8,17.419127,276.39383,4.8545454545454545,34.06363281881784,-118.21463181818181
2025-03-19,48427.8,54130.6,14.22,330.07333,5.391666666666667,34.09028341724969,-118.24077916666666
2025-03-20,54130.6,20718.1,13.920647,244.48611,7.927777777777777,34.09029505613884,-118.23880277777776
2025-03-21,20718.1,3091.9,12.287555,252.72295,8.027272727272727,34.092437364192755,-118.24204272727273
2025-03-22,3091.9,4097.5,14.450535,209.4166,9.141666666666667,34.09028341724969,-118.24077916666666
2025-03-23,4097.5,2311.2,10.018743,210.77911,12.671428571428573,34.11184850049985,-118.24407878571428
2025-03-24,2311.2,1859.5,11.837652,236.05922,10.627272727272727,34.11124900055662,-118.24442209090908
2025-03-25,1859.5,5899.2,12.855831,209.82831,11.318181818181818,34.11124900055662,-118.24442209090908
2025-03-26,5899.2,13793.2,10.783486,208.76105,8.15263157894737,34.07468547428272,-118.23523521052633
2025-03-27,13793.2,30142.6,15.435983,242.08792,4.358333333333333,34.09028341724969,-118.24077916666666
2025-03-28,30142.6,9383.6,16.997377,211.44374,8.108333333333333,34.09028341724969,-118.24077916666666
2025-03-29,9383.6,16658.6,12.688404,184.5113,7.693333333333333,34.09503606719143,-118.24118733333333
2025-03-30,16658.6,1044.4,12.708815,227.9867,5.3999999999999995,34.09028341724969,-118.24077916666666
2025-03-31,1044.4,2625.3,13.393983,155.24753,3.4333333333333336,34.09028341724969,-118.24077916666666
2025-04-01,2625.3,9724.0,19.738539,264.7922,5.315789473684211,34.07468547428272,-118.23523521052633
2025-04-02,9724.0,6578.2,20.04476,280.30478,5.041666666666667,34.09028341724969,-118.24077916666666
2025-04-03,6578.2,41302.3,15.825675,151.48254,7.027272727272727,34.10745563692021,-118.24403181818182
2025-04-04,41302.3,47837.6,21.6457,234.33632,6.714285714285714,34.10886800049982,-118.24377214285714
2025-04-05,47837.6,14985.1,18.723461,240.02856,5.8,34.10745563692021,-118.24403181818182
2025-04-06,14985.1,8312.7,18.745079,206.56491,7.390909090909091,34.10745563692021,-118.24403181818182
2025-04-07,8312.7,19187.5,13.184308,185.78545,9.038888888888888,34.08431305613876,-118.23691494444444
2025-04-08,19187.5,18103.2,12.108261,200.39618,10.063636363636364,34.10745563692021,-118.24403181818182
2025-04-09,18103.2,9455.8,12.855831,199.61795,11.736363636363636,34.10745563692021,-118.24403181818182
2025-04-10,9455.8,4693.2,12.351987,201.29309,11.821428571428571,34.10886800049982,-118.24377214285714
2025-04-11,4693.2,30258.2,11.334285,196.57408,11.309999999999999,34.09827620061223,-118.215159
2025-04-12,30258.2,12005.9,12.383424,191.53456,13.87,34.09827620061223,-118.215159
2025-04-13,12005.9,20495.8,11.634741,193.45178,14.576470588235296,34.07755205944104,-118.21951229411764
2025-04-14,20495.8,10163.3,13.151091,207.50835,13.27,34.09827620061223,-118.215159
2025-04-15,10163.3,4098.3,12.346741,218.48024,11.07,34.09827620061223,-118.215159
2025-04-16,4098.3,8687.5,12.124306,224.39415,7.6499999999999995,34.10886800049982,-118.24377214285714
2025-04-17,8687.5,5169.3,12.534257,239.93976,6.3,34.10745563692021,-118.24403181818182
2025-04-18,5169.3,4224.2,12.0921955,223.06119,6.82,34.11154220052464,-118.24574700000001
2025-04-19,4224.2,2743.9,13.0447235,232.1351,8.435294117647059,34.085355588801285,-118.23750523529412
2025-04-20,2743.9,10642.2,13.184308,208.74529,9.239999999999998,34.11154220052464,-118.24574700000001
2025-04-21,10642.2,9922.6,13.3649235,205.23824,10.48,34.11154220052464,-118.24574700000001
2025-04-22,9922.6,14596.9,11.854062,208.16316,12.115384615384615,34.11212015431705,-118.24507153846153
2025-04-23,14596.9,14390.3,12.007498,194.94836,10.040000000000001,34.13223500052489,-118.2483643
2025-04-24,14390.3,8967.2,12.88981,196.748,9.627272727272727,34.10745563692021,-118.24403181818182
2025-04-25,8967.2,2305.4,14.810401,198.56197,6.972222222222222,34.08431305613876,-118.23691494444444
2025-04-26,2305.4,683.2,14.450535,215.42847,3.0727272727272723,34.10745563692021,-118.24403181818182
